show_id,type,title,date_added,release_year,rating,duration
s81,Movie,Alvin and the Chipmunks,1-Oct-21,2007,PG,91 min
s82,Movie,Alvin and the Chipmunks: The Road Chip,1-Oct-21,2015,PG,92 min
s83,Movie,LEGO Star Wars Terrifying Tales,1-Oct-21,2021,TV-Y7-FV,47 min
s84,Movie,Maleficent,1-Oct-21,2014,PG,99 min
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,1-Oct-21,2017,TV-G,22 min
s86,TV Show,Disney Vampirina,29-Sep-21,2017,TV-Y7,3 Seasons
s87,TV Show,Disney's Magic Bake-Off,29-Sep-21,2021,TV-G,1 Season
s88,TV Show,Great Barrier Reef,29-Sep-21,2020,TV-PG,1 Season
s89,TV Show,Ready for Preschool,29-Sep-21,2019,TV-Y,2 Seasons
s90,TV Show,Rolie Polie Olie,29-Sep-21,1998,TV-Y,5 Seasons
s91,TV Show,Star Wars Galaxy of Sounds,29-Sep-21,2021,TV-PG,1 Season
s92,TV Show,The Hatcher Family Dairy,29-Sep-21,2021,TV-14,1 Season
s93,TV Show,The Simpsons,29-Sep-21,1989,TV-PG,32 Seasons
s94,Movie,A Spark Story,24-Sep-21,2021,TV-PG,88 min
s95,Movie,Spooky Buddies,24-Sep-21,2011,G,93 min
s96,Movie,The Fault in Our Stars,24-Sep-21,2014,PG-13,127 min
s97,TV Show,Dog: Impossible,22-Sep-21,2019,TV-PG,2 Seasons
s98,TV Show,Spidey And His Amazing Friends,22-Sep-21,2021,TV-Y,1 Season
s99,TV Show,Star Wars: Visions,22-Sep-21,2021,TV-PG,1 Season
s100,Movie,Confessions of a Shopaholic,17-Sep-21,2009,PG,106 min
s101,Movie,Descendants: Royal Wedding,17-Sep-21,2021,TV-G,22 min
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,17-Sep-21,2016,TV-G,116 min
s103,Movie,Flooded Tombs of the Nile,17-Sep-21,2021,TV-PG,44 min
s104,Movie,Jade Eyed Leopard,17-Sep-21,2020,TV-PG,44 min
s105,Movie,Nona,17-Sep-21,2021,G,9 min
s106,Movie,Smoky Mountain Park Rangers,17-Sep-21,2021,TV-PG,42 min
s107,TV Show,Life Below Zero,15-Sep-21,2012,TV-14,16 Seasons
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,15-Sep-21,2015,TV-Y7,1 Season
s109,TV Show,Unknown Waters with Jeremy Wade,15-Sep-21,2021,TV-14,1 Season
s110,Movie,Far Away From Raven’s Home,10-Sep-21,2021,TV-G,11 min
s111,Movie,Pirates of the Caribbean: On Stranger Tides,10-Sep-21,2011,PG-13,140 min
s112,Movie,Twenty Something,10-Sep-21,2021,PG,11 min
s113,TV Show,"Doogie Kamealoha, M.D.",8-Sep-21,2021,TV-PG,1 Season
s114,TV Show,"Mira, Royal Detective",8-Sep-21,2020,TV-Y,2 Seasons
s115,TV Show,Pepper Ann,8-Sep-21,1997,TV-Y,3 Seasons
s116,TV Show,The Incredible Dr. Pol,8-Sep-21,2011,TV-14,19 Seasons
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,3-Sep-21,2021,TV-14,66 min
s118,Movie,X-Men: Dark Phoenix,3-Sep-21,2019,PG-13,115 min
s119,TV Show,Alaska Animal Rescue,1-Sep-21,2019,TV-PG,2 Seasons
s120,TV Show,Dug Days,1-Sep-21,2021,TV-PG,1 Season
s121,Movie,Cruella,27-Aug-21,2021,PG-13,137 min
s122,Movie,Dan in Real Life,27-Aug-21,2007,PG-13,99 min
s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,27-Aug-21,2021,TV-G,22 min
s124,Movie,Marvel One-Shot: All Hail the King,27-Aug-21,2014,TV-14,14 min
s125,Movie,Underdog,27-Aug-21,2007,PG,85 min
s126,TV Show,Dr. K's Exotic Animal ER,25-Aug-21,2014,TV-14,9 Seasons
s127,TV Show,Gigantosaurus,25-Aug-21,2018,TV-Y,2 Seasons
s128,TV Show,Life Below Zero: Next Generation,25-Aug-21,2020,TV-14,2 Seasons
s129,Movie,Eragon,20-Aug-21,2006,PG,104 min
